match_status,match_id,competition,season,team_off,team_off__id,team_def,team_def__id,team_off__score60,team_def__score60,substitution_replacement__off,substitution_replacementNumber__off,substitution_minute__off,substitution_minuteDelta__off,clearances_total__off__pre,clearances_total__off__post,clearances_total__def__pre,clearances_total__def__post,dribble_total__off__pre,dribble_total__off__post,dribble_total__def__pre,dribble_total__def__post,dribble_success__off__pre,dribble_success__off__post,dribble_success__def__pre,dribble_success__def__post,duel_total__off__pre,duel_total__off__post,duel_total__def__pre,duel_total__def__post,duel_success__off__pre,duel_success__off__post,duel_success__def__pre,duel_success__def__post,fouls_committed__off__pre,fouls_committed__off__post,fouls_committed__def__pre,fouls_committed__def__post,interceptions_total__off__pre,interceptions_total__off__post,interceptions_total__def__pre,interceptions_total__def__post,interceptions_success__off__pre,interceptions_success__off__post,interceptions_success__def__pre,interceptions_success__def__post,pass_shot_assist__off__pre,pass_shot_assist__off__post,pass_shot_assist__def__pre,pass_shot_assist__def__post,pass_goal_assist__off__pre,pass_goal_assist__off__post,pass_goal_assist__def__pre,pass_goal_assist__def__post,pass_success_length__total__off__pre,pass_success_length__total__off__post,pass_success_length__total__def__pre,pass_success_length__total__def__post,pass_success_length__0_5__off__pre,pass_success_length__0_5__off__post,pass_success_length__0_5__def__pre,pass_success_length__0_5__def__post,pass_success_length__5_10__off__pre,pass_success_length__5_10__off__post,pass_success_length__5_10__def__pre,pass_success_length__5_10__def__post,pass_success_length__10_20__off__pre,pass_success_length__10_20__off__post,pass_success_length__10_20__def__pre,pass_success_length__10_20__def__post,pass_success_length__20_40__off__pre,pass_success_length__20_40__off__post,pass_success_length__20_40__def__pre,pass_success_length__20_40__def__post,pass_success_length__40__off__pre,pass_success_length__40__off__post,pass_success_length__40__def__pre,pass_success_length__40__def__post,passes_total__off__pre,passes_total__off__post,passes_total__def__pre,passes_total__def__post,passes_success__off__pre,passes_success__off__post,passes_success__def__pre,passes_success__def__post,shots_total__off__pre,shots_total__off__post,shots_total__def__pre,shots_total__def__post,shots_target__off__pre,shots_target__off__post,shots_target__def__pre,shots_target__def__post,goals_scored__off__pre,goals_scored__off__post,goals_scored__def__pre,goals_scored__def__post,substitution_tactical__off__pre,substitution_tactical__off__post,substitution_tactical__def__pre,substitution_tactical__def__post
3888704__59,3888704.0,International - FIFA World Cup,1958,France,771.0,Brazil,781.0,1.0,3.0,,,59.0,31.0,17.0,7.0,22.0,9.0,30.0,17.0,39.0,24.0,21.0,9.0,17.0,16.0,32.0,32.0,16.0,16.0,1.0,3.0,9.0,3.0,1.0,0.0,1.0,1.0,11.0,4.0,11.0,5.0,4.0,1.0,5.0,0.0,6.0,4.0,13.0,6.0,1.0,0.0,2.0,1.0,3523.799676290464,1586.0517677165353,4139.314410323709,2796.989437445319,28.630690507436572,9.176181539807525,40.489241032370956,15.882449693788276,405.5872119422572,204.18193241469817,530.9125232939632,320.80461242344705,1398.634618328959,671.9692847769029,1729.8588730314964,1226.4185465879264,968.5947090988626,603.0150196850393,1220.6446041119862,1032.3101662292215,722.3524464129484,97.70934930008748,617.4091688538932,201.57366251093615,261.0,124.0,298.0,171.0,171.0,87.0,214.0,142.0,10.0,5.0,28.0,12.0,6.0,3.0,17.0,10.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
3888705__59,3888705.0,International - FIFA World Cup,1958,Sweden,790.0,Brazil,781.0,1.0,3.0,,,59.0,31.0,39.0,14.0,21.0,7.0,14.0,14.0,48.0,15.0,10.0,9.0,19.0,10.0,31.0,31.0,16.0,16.0,6.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,4.0,4.0,9.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,10.0,3.0,1.0,1.0,3.0,0.0,4284.788332677166,1527.0663370516183,4954.233857064741,2472.81753614392,25.32335378390201,24.949475612423445,21.10368449256343,23.3861926399825,256.8185675853019,137.6271337489064,448.21901443569556,234.3107863079615,1802.6116081583552,505.84786198600176,2155.6679593175854,917.1238620953633,1682.0308103674538,741.7952252843395,1782.9483737970252,1239.75760279965,518.0039927821523,116.8466404199475,546.2948250218723,58.239092300962376,300.0,116.0,329.0,166.0,201.0,76.0,242.0,124.0,4.0,2.0,18.0,6.0,2.0,2.0,11.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
3888854__59,3888854.0,International - FIFA World Cup,1962,Mexico,794.0,Brazil,781.0,0.0,1.0,,,59.0,27.0,28.0,10.0,9.0,4.0,20.0,7.0,39.0,20.0,5.0,3.0,25.0,11.0,25.0,25.0,24.0,24.0,8.0,2.0,7.0,3.0,2.0,0.0,1.0,0.0,6.0,2.0,5.0,1.0,2.0,0.0,4.0,1.0,6.0,2.0,14.0,7.0,0.0,0.0,1.0,1.0,4898.691553915135,1662.059094816273,5961.01990212161,2969.513817366579,17.026874125109362,24.436851596675417,16.235126202974627,0.0,397.5899471784777,102.28884044181977,320.7268592519685,233.3741011592301,2259.919817913386,700.3650103893262,2217.0803051181106,1187.0605375109358,1733.4424562554682,504.93543635170596,2843.093963254593,1175.482746062992,490.71245844269475,330.0329560367454,563.8836482939632,373.5964326334208,324.0,103.0,336.0,162.0,243.0,76.0,263.0,137.0,7.0,2.0,22.0,10.0,3.0,2.0,13.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3888699__76,3888699.0,International - FIFA World Cup,1970,Czechoslovakia,17469.0,Brazil,781.0,1.0,2.0,Bohumil Vesely,1.0,76.0,15.0,19.0,3.0,16.0,7.0,13.0,5.0,29.0,7.0,6.0,2.0,20.0,4.0,19.0,19.0,17.0,17.0,8.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,11.0,2.0,1.0,2.0,5.0,1.0,17.0,4.0,17.0,0.0,0.0,0.0,2.0,1.0,7095.612181211724,1065.3450141076116,6935.138792104112,1135.7210446194226,31.56820505249344,5.939819444444445,40.03581441382328,5.5440908792650925,461.7238082895889,37.61906496062991,559.6930197944007,79.99508912948382,2564.8855090769903,361.88977690288715,3272.6808098206475,490.8311964129484,2854.4677427821525,427.99920494313216,2776.449268372704,505.51989173228344,1182.9669160104988,231.8971478565179,286.2798797025372,53.83077646544182,366.0,55.0,414.0,67.0,305.0,43.0,347.0,54.0,23.0,8.0,26.0,2.0,10.0,4.0,14.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0
3888700__62,3888700.0,International - FIFA World Cup,1970,England,768.0,Brazil,781.0,0.0,1.0,Colin Bell,2.0,62.0,28.0,11.0,4.0,10.0,16.0,19.0,5.0,28.0,10.0,10.0,4.0,16.0,7.0,19.0,19.0,12.0,12.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,7.0,4.0,1.0,0.0,3.0,1.0,10.0,4.0,14.0,4.0,0.0,0.0,1.0,0.0,5671.341980533684,2214.4788561898513,6535.643407589676,2181.9741556211725,52.16520953630797,5.611632327209098,3.883482174103237,13.550970472440945,470.0117414698163,355.17641568241476,504.51520866141743,298.6292639982502,2348.258137576553,625.2505632108488,2882.228937007874,942.5000366360456,2394.836326552931,937.4103685476815,2301.8561745406823,668.3216688538932,406.07056539807525,291.0298764216973,843.1596052055993,258.9722156605425,328.0,146.0,360.0,131.0,279.0,112.0,311.0,112.0,13.0,8.0,16.0,4.0,5.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3888700__62,3888700.0,International - FIFA World Cup,1970,England,768.0,Brazil,781.0,0.0,1.0,Jeffrey Astle,2.0,62.0,28.0,11.0,4.0,10.0,16.0,19.0,5.0,28.0,10.0,10.0,4.0,16.0,7.0,19.0,19.0,12.0,12.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,7.0,4.0,1.0,0.0,3.0,1.0,10.0,4.0,14.0,4.0,0.0,0.0,1.0,0.0,5671.341980533684,2214.4788561898513,6535.643407589676,2181.9741556211725,52.16520953630797,5.611632327209098,3.883482174103237,13.550970472440945,470.0117414698163,355.17641568241476,504.51520866141743,298.6292639982502,2348.258137576553,625.2505632108488,2882.228937007874,942.5000366360456,2394.836326552931,937.4103685476815,2301.8561745406823,668.3216688538932,406.07056539807525,291.0298764216973,843.1596052055993,258.9722156605425,328.0,146.0,360.0,131.0,279.0,112.0,311.0,112.0,13.0,8.0,16.0,4.0,5.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3889217__70,3889217.0,International - FIFA World Cup,1970,Romania,905.0,Brazil,781.0,1.0,2.0,Gheorghe Tataru,1.0,70.0,19.0,6.0,1.0,10.0,5.0,21.0,4.0,29.0,15.0,10.0,2.0,21.0,11.0,22.0,22.0,17.0,17.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,2.0,7.0,3.0,7.0,1.0,2.0,1.0,11.0,3.0,12.0,2.0,0.0,1.0,1.0,0.0,5036.233541338584,980.3294775809275,5843.879071959755,1740.0694645669291,31.609614720034994,12.25651388888889,27.90178160542432,10.80524278215223,441.41449037620293,59.94988188976379,713.1043255686791,266.9724627077865,2429.142853783902,391.4339851268591,2685.6452187226596,792.4503953412074,1801.6993088363956,440.0268044619423,2046.3625623359578,570.394145888014,332.3672736220472,76.66229221347331,370.86518372703415,99.44721784776902,317.0,58.0,360.0,103.0,259.0,44.0,310.0,94.0,14.0,4.0,19.0,3.0,8.0,2.0,12.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
3889218__59,3889218.0,International - FIFA World Cup,1970,Peru,784.0,Brazil,781.0,1.0,3.0,,,59.0,31.0,7.0,4.0,9.0,10.0,20.0,4.0,19.0,9.0,13.0,4.0,13.0,4.0,13.0,13.0,14.0,14.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,8.0,4.0,13.0,7.0,1.0,0.0,2.0,1.0,4426.974992782152,2400.6699376640418,5418.087869094489,2700.8321631671047,73.49503969816274,17.324322287839017,46.67582206911636,9.598005030621174,668.7867909011374,299.0203365048119,600.2952983377078,316.02043875765526,2148.822364938758,1453.038838582677,2729.5010487751533,1082.2761428258966,1169.7126006124233,510.43376312335965,1562.5558344269468,971.3820669291338,366.158196631671,120.85267716535434,479.0598654855643,321.5555096237971,303.0,167.0,340.0,154.0,255.0,141.0,289.0,135.0,12.0,7.0,21.0,9.0,6.0,7.0,14.0,8.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0
3888711__59,3888711.0,Europe - Champions League,1970/1971,Panathinaikos,952.0,Ajax,806.0,0.0,1.0,,,59.0,31.0,23.0,7.0,25.0,12.0,25.0,4.0,23.0,12.0,15.0,3.0,15.0,8.0,14.0,14.0,20.0,20.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,0.0,4.0,1.0,8.0,2.0,10.0,1.0,0.0,0.0,1.0,1.0,4365.213661089239,2485.509152559055,4014.894485345582,2742.1699227909016,54.491635498687664,16.95686307961505,8.59694706911636,5.537615923009624,447.25815255905513,210.15104658792652,315.69967738407695,169.8196805555556,1976.8154762685915,1170.9991376859145,1805.7823042432194,1066.3295488845145,1435.1572080052495,774.8980653980752,1323.4427941819774,948.5644356955381,451.4911887576553,312.50403980752407,561.3727624671916,551.9186417322835,315.0,162.0,279.0,154.0,231.0,122.0,191.0,119.0,9.0,4.0,16.0,4.0,4.0,2.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
3750235__59,3750235.0,Europe - Champions League,1971/1972,Inter Milan,238.0,Ajax,806.0,0.0,1.0,,,59.0,32.0,34.0,6.0,6.0,17.0,16.0,4.0,21.0,5.0,10.0,2.0,12.0,5.0,13.0,13.0,24.0,24.0,2.0,3.0,8.0,3.0,0.0,2.0,4.0,1.0,10.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,11.0,3.0,0.0,0.0,1.0,1.0,2865.007959536308,1741.3370933945757,4637.773468503937,3317.245369422572,7.096040901137358,35.42856244531933,42.0871073928259,17.10562007874016,346.74196402012245,205.29716283902013,374.08853083989504,173.64147451881018,1081.09927220035,529.4310258092738,1620.3325995188102,1057.0404631452318,856.1239391951007,731.2165649606299,2071.387481408574,1674.5065649606302,573.9467432195976,239.96377734033248,529.8777493438321,394.9512467191601,207.0,122.0,303.0,161.0,138.0,88.0,217.0,141.0,5.0,5.0,18.0,6.0,2.0,3.0,12.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
