                               mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
sigma_alpha                   0.115  0.039   0.034    0.185      0.002    0.001     428.0     377.0   1.01
sigma_delta                   0.229  0.029   0.174    0.283      0.001    0.000    1098.0    1888.0   1.00
mu_gamma                      0.304  0.030   0.249    0.361      0.001    0.000    3311.0    3187.0   1.00
sigma_gamma                   0.086  0.042   0.010    0.158      0.002    0.001     563.0    1106.0   1.01
beta[points_diff]            -0.302  0.043  -0.380   -0.218      0.001    0.001    1060.0    1844.0   1.01
beta[goalsscored_cum_team]    0.118  0.027   0.064    0.167      0.001    0.000    1162.0    1826.0   1.00
beta[goalsscored_cum_opp]    -0.107  0.032  -0.170   -0.053      0.001    0.000    1787.0    2319.0   1.00
beta[goalsconceded_cum_team] -0.165  0.031  -0.224   -0.110      0.001    0.000    3117.0    3236.0   1.00
beta[goalsconceded_cum_opp]   0.116  0.026   0.068    0.164      0.001    0.000    1633.0    2592.0   1.00
beta[teamMOM__S]             -0.051  0.076  -0.194    0.094      0.004    0.002     305.0     845.0   1.01
beta[oppMOM__S]              -0.015  0.074  -0.162    0.122      0.004    0.002     441.0     811.0   1.01
beta[teamMOM__M]              0.101  0.186  -0.241    0.439      0.013    0.006     190.0     441.0   1.02
beta[oppMOM__M]              -0.003  0.179  -0.328    0.357      0.011    0.006     289.0     485.0   1.01
beta[teamMOM__L]             -0.038  0.149  -0.321    0.236      0.010    0.005     213.0     534.0   1.02
beta[oppMOM__L]              -0.030  0.146  -0.303    0.247      0.008    0.004     297.0     581.0   1.01
beta[teamMOM__S_L]           -0.011  0.062  -0.131    0.101      0.002    0.001     966.0    1442.0   1.00
beta[oppMOM__S_L]            -0.017  0.062  -0.137    0.099      0.002    0.001    1280.0    1968.0   1.00
beta[FD_teamMOM__S]           0.032  0.064  -0.094    0.147      0.004    0.001     330.0     786.0   1.01
beta[FD_oppMOM__S]            0.154  0.073   0.018    0.289      0.004    0.002     321.0     683.0   1.01
beta[FD_teamMOM__M]          -0.106  0.192  -0.468    0.247      0.013    0.007     204.0     435.0   1.02
beta[FD_oppMOM__M]           -0.183  0.218  -0.620    0.200      0.016    0.011     199.0     283.0   1.01
beta[FD_teamMOM__L]           0.119  0.149  -0.161    0.392      0.010    0.005     224.0     412.0   1.02
beta[FD_oppMOM__L]            0.118  0.166  -0.188    0.436      0.012    0.008     209.0     335.0   1.01
beta[elo_team]                0.222  0.085   0.053    0.379      0.006    0.003     231.0     609.0   1.01
beta[elo_opp]                -0.481  0.089  -0.658   -0.319      0.006    0.003     229.0     545.0   1.01
beta[elo_team_opp]            0.148  0.115  -0.069    0.372      0.008    0.004     216.0     549.0   1.01
