                               mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
sigma_alpha                   0.119  0.039   0.039    0.188      0.002    0.001     415.0     442.0   1.01
sigma_delta                   0.231  0.029   0.179    0.286      0.001    0.000    1119.0    1818.0   1.00
mu_gamma                      0.304  0.030   0.249    0.359      0.001    0.000    2625.0    2827.0   1.00
sigma_gamma                   0.086  0.045   0.007    0.163      0.002    0.001     443.0     621.0   1.01
beta[points_diff]            -0.306  0.044  -0.388   -0.226      0.001    0.001    1322.0    2064.0   1.00
beta[goalsscored_cum_team]    0.118  0.028   0.066    0.171      0.001    0.000    1070.0    2024.0   1.01
beta[goalsscored_cum_opp]    -0.107  0.032  -0.163   -0.045      0.001    0.000    2019.0    2700.0   1.00
beta[goalsconceded_cum_team] -0.165  0.031  -0.227   -0.108      0.001    0.000    2819.0    2592.0   1.00
beta[goalsconceded_cum_opp]   0.116  0.026   0.066    0.163      0.001    0.000    1754.0    2224.0   1.00
beta[teamMOM__S]             -0.043  0.076  -0.188    0.098      0.004    0.002     301.0     780.0   1.02
beta[oppMOM__S]              -0.020  0.073  -0.155    0.119      0.004    0.002     332.0     872.0   1.02
beta[teamMOM__M]              0.086  0.176  -0.247    0.415      0.012    0.006     201.0     438.0   1.03
beta[oppMOM__M]               0.003  0.178  -0.342    0.329      0.011    0.005     254.0     493.0   1.03
beta[teamMOM__L]             -0.024  0.144  -0.306    0.246      0.010    0.005     212.0     511.0   1.03
beta[oppMOM__L]              -0.037  0.150  -0.307    0.256      0.009    0.004     264.0     555.0   1.02
beta[teamMOM__S_L]           -0.015  0.061  -0.134    0.094      0.002    0.001     818.0    1489.0   1.00
beta[oppMOM__S_L]            -0.015  0.061  -0.129    0.102      0.002    0.001    1166.0    1891.0   1.00
beta[FD_teamMOM__S]           0.037  0.065  -0.089    0.155      0.004    0.002     324.0     708.0   1.02
beta[FD_oppMOM__S]            0.150  0.070   0.024    0.282      0.004    0.001     329.0     939.0   1.02
beta[FD_teamMOM__M]          -0.124  0.201  -0.515    0.243      0.014    0.008     204.0     369.0   1.03
beta[FD_oppMOM__M]           -0.173  0.210  -0.537    0.253      0.015    0.007     208.0     500.0   1.03
beta[FD_teamMOM__L]           0.130  0.156  -0.177    0.413      0.011    0.006     219.0     415.0   1.03
beta[FD_oppMOM__L]            0.113  0.162  -0.194    0.414      0.011    0.005     221.0     532.0   1.03
beta[elo_team]                0.223  0.087   0.062    0.385      0.005    0.002     354.0     851.0   1.01
beta[elo_opp]                -0.479  0.090  -0.640   -0.303      0.005    0.002     358.0     802.0   1.01
beta[elo_team_opp]            0.146  0.118  -0.071    0.369      0.006    0.003     340.0     723.0   1.01
