match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD26_G1,2025-03-14,FC St. Pauli,TSG Hoffenheim,,,,
S2425_GD26_G2,2025-03-15,Werder Bremen,Bor. Mönchengladbach,,,,
S2425_GD26_G3,2025-03-15,FC Augsburg,VfL Wolfsburg,,,,
S2425_GD26_G4,2025-03-15,1. FSV Mainz 05,SC Freiburg,,,,
S2425_GD26_G5,2025-03-15,1. FC Union Berlin,Bayern München,,,,
S2425_GD26_G6,2025-03-15,RB Leipzig,Borussia Dortmund,,,,
S2425_GD26_G7,2025-03-16,VfL Bochum,Eintracht Frankfurt,,,,
S2425_GD26_G8,2025-03-16,1. FC Heidenheim,Holstein Kiel,,,,
S2425_GD26_G9,2025-03-16,VfB Stuttgart,Bayer 04 Leverkusen,,,,
S2425_GD27_G1,2025-03-28,Bayer 04 Leverkusen,VfL Bochum,,,,
S2425_GD27_G2,2025-03-29,Bayern München,FC St. Pauli,,,,
S2425_GD27_G3,2025-03-29,TSG Hoffenheim,FC Augsburg,,,,
S2425_GD27_G4,2025-03-29,VfL Wolfsburg,1. FC Heidenheim,,,,
S2425_GD27_G5,2025-03-29,Bor. Mönchengladbach,RB Leipzig,,,,
S2425_GD27_G6,2025-03-29,Holstein Kiel,Werder Bremen,,,,
S2425_GD27_G7,2025-03-29,Eintracht Frankfurt,VfB Stuttgart,,,,
S2425_GD27_G8,2025-03-30,SC Freiburg,1. FC Union Berlin,,,,
S2425_GD27_G9,2025-03-30,Borussia Dortmund,1. FSV Mainz 05,,,,
S2425_GD28_G1,2025-04-04,FC Augsburg,Bayern München,,,,
S2425_GD28_G2,2025-04-05,RB Leipzig,TSG Hoffenheim,,,,
S2425_GD28_G3,2025-04-05,1. FC Heidenheim,Bayer 04 Leverkusen,,,,
S2425_GD28_G4,2025-04-05,SC Freiburg,Borussia Dortmund,,,,
S2425_GD28_G5,2025-04-05,1. FSV Mainz 05,Holstein Kiel,,,,
S2425_GD28_G6,2025-04-05,VfL Bochum,VfB Stuttgart,,,,
S2425_GD28_G7,2025-04-05,Werder Bremen,Eintracht Frankfurt,,,,
S2425_GD28_G8,2025-04-06,FC St. Pauli,Bor. Mönchengladbach,,,,
S2425_GD28_G9,2025-04-06,1. FC Union Berlin,VfL Wolfsburg,,,,
S2425_GD29_G1,2025-04-11,VfL Wolfsburg,RB Leipzig,,,,
S2425_GD29_G2,2025-04-12,Bayer 04 Leverkusen,1. FC Union Berlin,,,,
S2425_GD29_G3,2025-04-12,TSG Hoffenheim,1. FSV Mainz 05,,,,
S2425_GD29_G4,2025-04-12,Bor. Mönchengladbach,SC Freiburg,,,,
S2425_GD29_G5,2025-04-12,VfL Bochum,FC Augsburg,,,,
S2425_GD29_G6,2025-04-12,Holstein Kiel,FC St. Pauli,,,,
S2425_GD29_G7,2025-04-12,Bayern München,Borussia Dortmund,,,,
S2425_GD29_G8,2025-04-13,VfB Stuttgart,Werder Bremen,,,,
S2425_GD29_G9,2025-04-13,Eintracht Frankfurt,1. FC Heidenheim,,,,
S2425_GD30_G1,2025-04-19,RB Leipzig,Holstein Kiel,,,,
S2425_GD30_G2,2025-04-19,1. FC Heidenheim,Bayern München,,,,
S2425_GD30_G3,2025-04-19,Werder Bremen,VfL Bochum,,,,
S2425_GD30_G4,2025-04-19,SC Freiburg,TSG Hoffenheim,,,,
S2425_GD30_G5,2025-04-19,1. FSV Mainz 05,VfL Wolfsburg,,,,
S2425_GD30_G6,2025-04-19,1. FC Union Berlin,VfB Stuttgart,,,,
S2425_GD30_G7,2025-04-20,FC Augsburg,Eintracht Frankfurt,,,,
S2425_GD30_G8,2025-04-20,Borussia Dortmund,Bor. Mönchengladbach,,,,
S2425_GD30_G9,2025-04-20,FC St. Pauli,Bayer 04 Leverkusen,,,,
S2425_GD31_G1,2025-04-26,Bayer 04 Leverkusen,FC Augsburg,,,,
S2425_GD31_G2,2025-04-26,VfB Stuttgart,1. FC Heidenheim,,,,
S2425_GD31_G3,2025-04-26,Bayern München,1. FSV Mainz 05,,,,
