season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,jonas-omlin,Tor,1994-01-10 00:00:00,0,4,0,Schweiz,,
2024-25,joseph-scally,Abwehr,2002-12-31 00:00:00,2,0,15,USA,,
2024-25,ko-itakura,Abwehr,1997-01-27 00:00:00,0,17,0,Japan,,
2024-25,nico-elvedi,Abwehr,1996-09-30 00:00:00,1,9,2,Schweiz,,
2024-25,franck-honorat,Mittelfeld,1996-08-11 00:00:00,0,0,14,Frankreich,,
2024-25,rocco-reitz,Mittelfeld,2002-05-29 00:00:00,0,11,0,Deutschland,,
2024-25,julian-weigl,Mittelfeld,1995-09-08 00:00:00,0,16,0,Deutschland,,
2024-25,luca-netz,Abwehr,2003-05-15 00:00:00,7,0,0,Deutschland,,
2024-25,kevin-stoeger,Mittelfeld,1993-08-27 00:00:00,4,4,1,Österreich,,
2024-25,alassane-plea,Sturm,1993-03-10 00:00:00,3,12,0,Frankreich,,
2024-25,tim-kleindienst,Sturm,1995-08-31 00:00:00,0,20,0,Deutschland,,
2024-25,tomas-cvancara,Sturm,2000-08-13 00:00:00,0,1,1,Tschechien,,
2024-25,philipp-sander,Mittelfeld,1998-02-21 00:00:00,0,6,1,Deutschland,,
2024-25,fabio-chiarodia,Abwehr,2005-06-05 00:00:00,0,1,0,Italien,,
2024-25,nathan-ngoumou,Mittelfeld,2000-03-14 00:00:00,0,0,2,Frankreich,,
2024-25,stefan-lainer,Abwehr,1992-08-27 00:00:00,0,0,2,Österreich,,
2024-25,lukas-hradecky,Tor,1989-11-24 00:00:00,0,22,0,Finnland,,
2024-25,edmond-tapsoba,Abwehr,1999-02-02 00:00:00,2,6,15,Faso,,
2024-25,jonathan-tah,Abwehr,1996-02-11 00:00:00,0,27,1,Deutschland,,
2024-25,piero-hincapie,Abwehr,2002-01-09 00:00:00,20,0,0,Ecuador,,
2024-25,jeremie-frimpong,Abwehr,2000-12-10 00:00:00,0,0,19,Niederlande,,
2024-25,granit-xhaka,Mittelfeld,1992-09-27 00:00:00,0,27,0,Schweiz,,
2024-25,robert-andrich,Mittelfeld,1994-09-22 00:00:00,0,19,0,Deutschland,,
2024-25,alejandro-grimaldo,Abwehr,1995-09-20 00:00:00,25,0,0,Spanien,,
2024-25,jonas-hofmann,Mittelfeld,1992-07-14 00:00:00,0,2,4,Deutschland,,
2024-25,florian-wirtz,Mittelfeld,2003-05-03 00:00:00,13,8,4,Deutschland,,
2024-25,victor-boniface,Sturm,2000-12-23 00:00:00,0,11,0,Nigeria,,
2024-25,martin-terrier,Sturm,1997-03-04 00:00:00,1,0,6,Frankreich,,
2024-25,aleix-garcia,Mittelfeld,1997-06-28 00:00:00,1,9,0,Spanien,,
2024-25,amine-adli,Sturm,2000-05-10 00:00:00,2,1,1,Marokko,,
2024-25,peter-gulacsi,Tor,1990-05-06 00:00:00,0,22,0,Ungarn,,
2024-25,mohamed-simakan,Abwehr,2000-05-03 00:00:00,0,1,1,Frankreich,,
2024-25,willi-orban,Abwehr,1992-11-03 00:00:00,0,28,0,Ungarn,,
2024-25,castello-lukeba,Abwehr,2002-12-17 00:00:00,4,9,0,Frankreich,,
2024-25,david-raum,Abwehr,1998-04-22 00:00:00,11,0,0,Deutschland,,
2024-25,nicolas-seiwald,Mittelfeld,2001-05-04 00:00:00,0,13,3,Österreich,,
2024-25,kevin-kampl,Mittelfeld,1990-10-09 00:00:00,0,12,0,Slowenien,,
2024-25,amadou-haidara,Mittelfeld,1998-01-31 00:00:00,0,17,2,Mali,,
2024-25,xavi-simons,Mittelfeld,2003-04-21 00:00:00,10,0,5,Niederlande,,
2024-25,lois-openda,Sturm,2000-02-16 00:00:00,0,28,0,Belgien,,
2024-25,benjamin-sesko,Sturm,2003-05-31 00:00:00,2,22,3,Slowenien,,
2024-25,benjamin-henrichs,Abwehr,1997-02-23 00:00:00,8,0,10,Deutschland,,
2024-25,antonio-nusa,Sturm,2005-04-17 00:00:00,17,1,6,Norwegen,,
2024-25,yussuf-poulsen,Sturm,1994-06-15 00:00:00,1,4,0,Dänemark,,
2024-25,lukas-klostermann,Abwehr,1996-06-03 00:00:00,0,2,8,Deutschland,,
2024-25,christoph-baumgartner,Mittelfeld,1999-08-01 00:00:00,3,9,8,Österreich,,
2024-25,patrick-drewes,Tor,1993-02-04 00:00:00,0,16,0,Deutschland,,
2024-25,felix-passlack,Abwehr,1998-05-29 00:00:00,0,0,16,Deutschland,,
2024-25,jakov-medic,Abwehr,1998-09-07 00:00:00,2,8,0,Kroatien,,
2024-25,erhan-masovic,Abwehr,1998-11-22 00:00:00,0,8,0,Serbien,,
2024-25,maximilian-wittek,Abwehr,1995-08-21 00:00:00,16,0,0,Deutschland,,
2024-25,ibrahima-sissoko,Mittelfeld,1997-10-27 00:00:00,2,9,3,Mali,,
2024-25,anthony-losilla,Mittelfeld,1986-03-10 00:00:00,1,8,3,Frankreich,,
2024-25,matus-bero,Mittelfeld,1995-09-06 00:00:00,6,4,4,Slowakei,,
2024-25,lukas-daschner,Mittelfeld,1998-10-01 00:00:00,1,3,0,Deutschland,,
2024-25,philipp-hofmann,Sturm,1993-03-30 00:00:00,0,13,0,Deutschland,,
2024-25,moritz-broschinski,Sturm,2000-09-23 00:00:00,0,9,3,Deutschland,,
2024-25,myron-boadu,Sturm,2001-01-14 00:00:00,0,4,0,Niederlande,,
2024-25,aliou-balde,Sturm,2002-12-12 00:00:00,0,0,0,Guinea,,
2024-25,mats-pannewig,Mittelfeld,2004-10-28 00:00:00,1,0,0,Deutschland,,
2024-25,tim-oermann,Abwehr,2003-10-06 00:00:00,0,1,7,Deutschland,,
2024-25,samuel-bamba,Sturm,2004-02-13 00:00:00,0,0,0,Deutschland,,
2024-25,oliver-baumann,Tor,1990-06-02 00:00:00,0,25,0,Deutschland,,
2024-25,tim-drexler,Abwehr,2005-03-06 00:00:00,1,0,5,Deutschland,,
2024-25,anton-stach,Mittelfeld,1998-11-15 00:00:00,0,22,0,Deutschland,,
