match_id,name_player,name_team,minute
S2425_GD1_G1,nico-elvedi,Bor. Mönchengladbach,59
S2425_GD1_G1,tim-kleindienst,Bor. Mönchengladbach,85
S2425_GD1_G1,granit-xhaka,Bayer 04 Leverkusen,12
S2425_GD1_G1,florian-wirtz,Bayer 04 Leverkusen,38
S2425_GD1_G1,florian-wirtz,Bayer 04 Leverkusen,90
S2425_GD1_G2,antonio-nusa,RB Leipzig,59
S2425_GD1_G3,andrej-kramaric,TSG Hoffenheim,6
S2425_GD1_G3,andrej-kramaric,TSG Hoffenheim,37
S2425_GD1_G3,andrej-kramaric,TSG Hoffenheim,87
S2425_GD1_G3,alexander-bernhardsson,Holstein Kiel,63
S2425_GD1_G3,shuto-machino,Holstein Kiel,89
S2425_GD1_G4,lukas-kuebler,SC Freiburg,26
S2425_GD1_G4,ritsu-doan,SC Freiburg,54
S2425_GD1_G4,lukas-kuebler,SC Freiburg,61
S2425_GD1_G4,ermedin-demirovic,VfB Stuttgart,2
S2425_GD1_G5,elvis-rexhbecaj,FC Augsburg,16
S2425_GD1_G5,samuel-essende,FC Augsburg,35
S2425_GD1_G5,felix-agu,Werder Bremen,12
S2425_GD1_G5,justin-njinmah,Werder Bremen,58
S2425_GD1_G6,nadiem-amiri,1. FSV Mainz 05,53
S2425_GD1_G6,laszlo-benes,1. FC Union Berlin,74
S2425_GD1_G7,jamie-bynoe-gittens,Borussia Dortmund,72
S2425_GD1_G7,jamie-bynoe-gittens,Borussia Dortmund,90
S2425_GD1_G8,lovro-majer,VfL Wolfsburg,47
S2425_GD1_G8,lovro-majer,VfL Wolfsburg,55
S2425_GD1_G8,jamal-musiala,Bayern München,20
S2425_GD1_G8,jakub-kaminski,Bayern München,65
S2425_GD1_G8,serge-gnabry,Bayern München,82
S2425_GD1_G9,paul-wanner,1. FC Heidenheim,66
S2425_GD1_G9,jan-schoeppner,1. FC Heidenheim,82
S2425_GD2_G1,benedict-hollerbach,1. FC Union Berlin,34
S2425_GD2_G2,enzo-millot,VfB Stuttgart,8
S2425_GD2_G2,jamie-leweling,VfB Stuttgart,15
S2425_GD2_G2,fabian-rieder,VfB Stuttgart,88
S2425_GD2_G2,nadiem-amiri,1. FSV Mainz 05,43
S2425_GD2_G2,jonathan-burkardt,1. FSV Mainz 05,62
S2425_GD2_G2,maxim-leitsch,1. FSV Mainz 05,90
S2425_GD2_G3,hugo-ekitike,Eintracht Frankfurt,24
S2425_GD2_G3,hugo-larsson,Eintracht Frankfurt,33
S2425_GD2_G3,omar-marmoush,Eintracht Frankfurt,56
S2425_GD2_G3,andrej-kramaric,TSG Hoffenheim,54
S2425_GD2_G5,tim-kleindienst,Bor. Mönchengladbach,67
S2425_GD2_G5,franck-honorat,Bor. Mönchengladbach,78
S2425_GD2_G6,maximilian-arnold,VfL Wolfsburg,27
S2425_GD2_G6,sebastiaan-bornauw,VfL Wolfsburg,30
S2425_GD2_G7,jeremie-frimpong,Bayer 04 Leverkusen,39
S2425_GD2_G7,alejandro-grimaldo,Bayer 04 Leverkusen,45
S2425_GD2_G7,kevin-kampl,RB Leipzig,45
S2425_GD2_G7,lois-openda,RB Leipzig,57
S2425_GD2_G7,lois-openda,RB Leipzig,80
S2425_GD2_G8,paul-wanner,1. FC Heidenheim,9
S2425_GD2_G8,leonardo-weschenfelder-scienza,1. FC Heidenheim,30
S2425_GD2_G8,adrian-beck,1. FC Heidenheim,69
S2425_GD2_G8,maximilian-breunig,1. FC Heidenheim,73
S2425_GD2_G9,harry-kane,Bayern München,38
S2425_GD2_G9,thomas-mueller,Bayern München,78
S2425_GD3_G1,donyell-malen,Borussia Dortmund,12
S2425_GD3_G1,karim-adeyemi,Borussia Dortmund,17
S2425_GD3_G1,karim-adeyemi,Borussia Dortmund,41
S2425_GD3_G1,emre-can,Borussia Dortmund,90
S2425_GD3_G1,marvin-pieringer,1. FC Heidenheim,39
S2425_GD3_G1,maximilian-breunig,1. FC Heidenheim,74
