match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD1_G1,2024-08-15,Athletic Bilbao,FC Getafe,1,1,1,0
S2425_GD1_G2,2024-08-15,Real Betis Sevilla,FC Girona,1,1,1,0
S2425_GD1_G3,2024-08-16,Celta Vigo,Deportivo Alaves,2,1,0,1
S2425_GD1_G4,2024-08-16,UD Las Palmas,FC Sevilla,2,2,1,1
S2425_GD1_G5,2024-08-17,CA Osasuna,CD Leganes,1,1,0,1
S2425_GD1_G6,2024-08-17,FC Valencia,FC Barcelona,1,2,1,1
S2425_GD1_G7,2024-08-18,Real Sociedad San Sebastian,Rayo Vallecano,1,2,0,0
S2425_GD1_G8,2024-08-18,RCD Mallorca,Real Madrid,1,1,0,1
S2425_GD1_G9,2024-08-19,Real Valladolid,Espanyol Barcelona,1,0,1,0
S2425_GD1_G10,2024-08-19,FC Villarreal,Atletico Madrid,2,2,2,2
S2425_GD2_G1,2024-08-23,Celta Vigo,FC Valencia,3,1,2,1
S2425_GD2_G2,2024-08-23,FC Sevilla,FC Villarreal,1,2,1,1
S2425_GD2_G3,2024-08-24,CA Osasuna,RCD Mallorca,1,0,0,0
S2425_GD2_G4,2024-08-24,FC Barcelona,Athletic Bilbao,2,1,1,1
S2425_GD2_G5,2024-08-24,FC Getafe,Rayo Vallecano,0,0,0,0
S2425_GD2_G6,2024-08-24,Espanyol Barcelona,Real Sociedad San Sebastian,0,1,0,0
S2425_GD2_G7,2024-08-25,Real Madrid,Real Valladolid,3,0,0,0
S2425_GD2_G8,2024-08-25,CD Leganes,UD Las Palmas,2,1,0,0
S2425_GD2_G9,2024-08-25,Deportivo Alaves,Real Betis Sevilla,0,0,0,0
S2425_GD2_G10,2024-08-25,Atletico Madrid,FC Girona,3,0,1,0
S2425_GD3_G1,2024-08-26,FC Villarreal,Celta Vigo,4,3,1,2
S2425_GD3_G2,2024-08-27,RCD Mallorca,FC Sevilla,0,0,0,0
S2425_GD3_G3,2024-08-27,Rayo Vallecano,FC Barcelona,1,2,1,0
S2425_GD3_G4,2024-08-28,Athletic Bilbao,FC Valencia,1,0,1,0
S2425_GD3_G5,2024-08-28,Real Valladolid,CD Leganes,0,0,0,0
S2425_GD3_G6,2024-08-28,Real Sociedad San Sebastian,Deportivo Alaves,1,2,1,1
S2425_GD3_G7,2024-08-28,Atletico Madrid,Espanyol Barcelona,0,0,0,0
S2425_GD3_G8,2024-08-29,FC Girona,CA Osasuna,4,0,1,0
S2425_GD3_G9,2024-08-29,UD Las Palmas,Real Madrid,1,1,1,0
S2425_GD4_G1,2024-08-31,FC Barcelona,Real Valladolid,7,0,3,0
S2425_GD4_G2,2024-08-31,Athletic Bilbao,Atletico Madrid,0,1,0,0
S2425_GD4_G3,2024-08-31,Espanyol Barcelona,Rayo Vallecano,2,1,1,1
S2425_GD4_G4,2024-08-31,FC Valencia,FC Villarreal,1,1,1,1
S2425_GD4_G5,2024-08-31,CD Leganes,RCD Mallorca,0,1,0,1
S2425_GD4_G6,2024-09-01,Deportivo Alaves,UD Las Palmas,2,0,1,0
S2425_GD4_G7,2024-09-01,CA Osasuna,Celta Vigo,3,2,2,1
S2425_GD4_G8,2024-09-01,FC Sevilla,FC Girona,0,2,0,1
S2425_GD4_G9,2024-09-01,FC Getafe,Real Sociedad San Sebastian,0,0,0,0
S2425_GD4_G10,2024-09-01,Real Madrid,Real Betis Sevilla,2,0,0,0
S2425_GD5_G1,2024-09-13,Real Betis Sevilla,CD Leganes,2,0,0,0
S2425_GD5_G2,2024-09-14,RCD Mallorca,FC Villarreal,1,2,0,1
S2425_GD5_G3,2024-09-14,Espanyol Barcelona,Deportivo Alaves,3,2,1,1
S2425_GD5_G4,2024-09-14,FC Sevilla,FC Getafe,1,0,1,0
S2425_GD5_G5,2024-09-14,Real Sociedad San Sebastian,Real Madrid,0,2,0,0
S2425_GD5_G6,2024-09-15,Celta Vigo,Real Valladolid,3,1,2,0
S2425_GD5_G7,2024-09-15,FC Girona,FC Barcelona,1,4,0,2
S2425_GD5_G8,2024-09-15,UD Las Palmas,Athletic Bilbao,2,3,0,2
S2425_GD5_G9,2024-09-15,Atletico Madrid,FC Valencia,3,0,1,0
S2425_GD5_G10,2024-09-16,Rayo Vallecano,CA Osasuna,3,1,0,1
S2425_GD5_G12,2024-09-18,Real Betis Sevilla,FC Getafe,2,1,0,0
S2425_GD6_G1,2024-09-20,Deportivo Alaves,FC Sevilla,2,1,1,0
S2425_GD6_G2,2024-09-21,Real Valladolid,Real Sociedad San Sebastian,0,0,0,0
S2425_GD6_G3,2024-09-21,CA Osasuna,UD Las Palmas,2,1,1,1
S2425_GD6_G4,2024-09-21,FC Valencia,FC Girona,2,0,0,0
S2425_GD6_G5,2024-09-21,Real Madrid,Espanyol Barcelona,4,1,0,0
S2425_GD6_G6,2024-09-22,FC Getafe,CD Leganes,1,1,0,0
S2425_GD6_G7,2024-09-22,Athletic Bilbao,Celta Vigo,3,1,2,1
S2425_GD6_G8,2024-09-22,FC Villarreal,FC Barcelona,1,5,1,2
S2425_GD6_G9,2024-09-22,Rayo Vallecano,Atletico Madrid,1,1,1,0
S2425_GD6_G10,2024-09-23,Real Betis Sevilla,RCD Mallorca,1,2,1,1
S2425_GD7_G1,2024-09-17,RCD Mallorca,Real Sociedad San Sebastian,1,0,1,0
S2425_GD7_G2,2024-09-19,CD Leganes,Athletic Bilbao,0,2,0,0
S2425_GD7_G3,2024-09-24,FC Sevilla,Real Valladolid,2,1,1,0
S2425_GD7_G4,2024-09-24,FC Valencia,CA Osasuna,0,0,0,0
S2425_GD7_G5,2024-09-24,Real Madrid,Deportivo Alaves,3,2,2,0
S2425_GD7_G6,2024-09-25,FC Girona,Rayo Vallecano,0,0,0,0
S2425_GD7_G7,2024-09-25,FC Barcelona,FC Getafe,1,0,1,0
S2425_GD7_G8,2024-09-26,Espanyol Barcelona,FC Villarreal,1,2,1,1
S2425_GD7_G9,2024-09-26,UD Las Palmas,Real Betis Sevilla,1,1,1,1
S2425_GD7_G10,2024-09-26,Celta Vigo,Atletico Madrid,0,1,0,0
S2425_GD8_G1,2024-09-27,Real Valladolid,RCD Mallorca,1,2,0,0
S2425_GD8_G2,2024-09-28,FC Getafe,Deportivo Alaves,2,0,1,0
S2425_GD8_G3,2024-09-28,Rayo Vallecano,CD Leganes,1,1,1,0
S2425_GD8_G4,2024-09-28,Real Sociedad San Sebastian,FC Valencia,3,0,1,0
S2425_GD8_G5,2024-09-28,CA Osasuna,FC Barcelona,4,2,2,0
S2425_GD8_G6,2024-09-29,Celta Vigo,FC Girona,1,1,0,1
S2425_GD8_G7,2024-09-29,Athletic Bilbao,FC Sevilla,1,1,1,0
S2425_GD8_G8,2024-09-29,Real Betis Sevilla,Espanyol Barcelona,1,0,0,0
S2425_GD8_G9,2024-09-29,Atletico Madrid,Real Madrid,1,1,0,0
S2425_GD8_G10,2024-09-30,FC Villarreal,UD Las Palmas,3,1,1,0
S2425_GD9_G1,2024-10-04,CD Leganes,FC Valencia,0,0,0,0
S2425_GD9_G2,2024-10-05,Espanyol Barcelona,RCD Mallorca,2,1,1,0
S2425_GD9_G3,2024-10-05,FC Getafe,CA Osasuna,1,1,1,0
S2425_GD9_G4,2024-10-05,UD Las Palmas,Celta Vigo,0,1,0,1
S2425_GD9_G5,2024-10-05,Real Valladolid,Rayo Vallecano,1,2,0,0
S2425_GD9_G6,2024-10-05,Real Madrid,FC Villarreal,2,0,1,0
S2425_GD9_G7,2024-10-06,FC Girona,Athletic Bilbao,2,1,1,1
S2425_GD9_G8,2024-10-06,Deportivo Alaves,FC Barcelona,0,3,0,3
S2425_GD9_G9,2024-10-06,FC Sevilla,Real Betis Sevilla,1,0,0,0
S2425_GD9_G10,2024-10-06,Real Sociedad San Sebastian,Atletico Madrid,1,1,0,1
S2425_GD10_G1,2024-10-18,Deportivo Alaves,Real Valladolid,2,3,1,1
S2425_GD10_G2,2024-10-19,Athletic Bilbao,Espanyol Barcelona,4,1,3,0
S2425_GD10_G3,2024-10-19,CA Osasuna,Real Betis Sevilla,1,2,0,1
S2425_GD10_G4,2024-10-19,FC Girona,Real Sociedad San Sebastian,0,1,0,1
S2425_GD10_G5,2024-10-19,Celta Vigo,Real Madrid,1,2,0,1
S2425_GD10_G6,2024-10-20,RCD Mallorca,Rayo Vallecano,1,0,0,0
S2425_GD10_G7,2024-10-20,Atletico Madrid,CD Leganes,3,1,0,1
S2425_GD10_G8,2024-10-20,FC Villarreal,FC Getafe,1,1,1,0
S2425_GD10_G9,2024-10-20,FC Barcelona,FC Sevilla,5,1,3,0
S2425_GD10_G10,2024-10-21,FC Valencia,UD Las Palmas,2,3,1,1
S2425_GD11_G1,2024-10-25,Espanyol Barcelona,FC Sevilla,0,2,0,2
S2425_GD11_G2,2024-10-26,Real Valladolid,FC Villarreal,1,2,0,1
S2425_GD11_G3,2024-10-26,Rayo Vallecano,Deportivo Alaves,1,0,0,0
S2425_GD11_G4,2024-10-26,UD Las Palmas,FC Girona,1,0,1,0
S2425_GD11_G5,2024-10-26,Real Madrid,FC Barcelona,0,4,0,0
S2425_GD11_G6,2024-10-27,CD Leganes,Celta Vigo,3,0,0,0
S2425_GD11_G7,2024-10-27,FC Getafe,FC Valencia,1,1,0,1
S2425_GD11_G8,2024-10-27,Real Betis Sevilla,Atletico Madrid,1,0,1,0
S2425_GD11_G9,2024-10-27,Real Sociedad San Sebastian,CA Osasuna,0,2,0,2
S2425_GD11_G10,2024-10-28,RCD Mallorca,Athletic Bilbao,0,0,0,0
S2425_GD12_G1,2024-11-01,Deportivo Alaves,RCD Mallorca,1,0,0,0
S2425_GD12_G2,2024-11-02,CA Osasuna,Real Valladolid,1,0,1,0
S2425_GD12_G3,2024-11-02,FC Girona,CD Leganes,4,3,2,2
S2425_GD12_G4,2024-11-03,Atletico Madrid,UD Las Palmas,2,0,1,0
S2425_GD12_G5,2024-11-03,FC Barcelona,Espanyol Barcelona,3,1,3,0
S2425_GD12_G6,2024-11-03,FC Sevilla,Real Sociedad San Sebastian,0,2,0,1
S2425_GD12_G7,2024-11-03,Athletic Bilbao,Real Betis Sevilla,1,1,0,0
S2425_GD12_G8,2024-11-04,Celta Vigo,FC Getafe,1,0,1,0
S2425_GD13_G1,2024-11-08,Rayo Vallecano,UD Las Palmas,1,3,0,1
S2425_GD13_G2,2024-11-09,Real Madrid,CA Osasuna,4,0,2,0
S2425_GD13_G3,2024-11-09,FC Villarreal,Deportivo Alaves,3,0,1,0
S2425_GD13_G4,2024-11-09,CD Leganes,FC Sevilla,1,0,0,0
S2425_GD13_G5,2024-11-10,Real Betis Sevilla,Celta Vigo,2,2,1,1
S2425_GD13_G6,2024-11-10,RCD Mallorca,Atletico Madrid,0,1,0,0
S2425_GD13_G7,2024-11-10,FC Getafe,FC Girona,0,1,0,1
S2425_GD13_G8,2024-11-10,Real Valladolid,Athletic Bilbao,1,1,0,0
S2425_GD13_G9,2024-11-10,Real Sociedad San Sebastian,FC Barcelona,1,0,1,0
S2425_GD14_G1,2024-11-22,FC Getafe,Real Valladolid,2,0,0,0
S2425_GD14_G2,2024-11-23,FC Valencia,Real Betis Sevilla,4,2,1,1
S2425_GD14_G3,2024-11-23,Atletico Madrid,Deportivo Alaves,2,1,0,1
S2425_GD14_G4,2024-11-23,UD Las Palmas,RCD Mallorca,2,3,0,0
S2425_GD14_G5,2024-11-23,FC Girona,Espanyol Barcelona,4,1,4,0
S2425_GD14_G6,2024-11-23,Celta Vigo,FC Barcelona,2,2,0,1
S2425_GD14_G7,2024-11-24,CA Osasuna,FC Villarreal,2,2,2,0
S2425_GD14_G8,2024-11-24,FC Sevilla,Rayo Vallecano,1,0,1,0
S2425_GD14_G9,2024-11-24,CD Leganes,Real Madrid,0,3,0,1
S2425_GD14_G10,2024-11-24,Athletic Bilbao,Real Sociedad San Sebastian,1,0,1,0
S2425_GD15_G1,2024-11-29,RCD Mallorca,FC Valencia,2,1,1,1
S2425_GD15_G2,2024-11-30,FC Barcelona,UD Las Palmas,1,2,0,0
S2425_GD15_G3,2024-11-30,Deportivo Alaves,CD Leganes,1,1,0,0
S2425_GD15_G4,2024-11-30,Espanyol Barcelona,Celta Vigo,3,1,1,0
S2425_GD15_G5,2024-11-30,Real Valladolid,Atletico Madrid,0,5,0,3
S2425_GD15_G6,2024-12-01,FC Villarreal,FC Girona,2,2,1,0
S2425_GD15_G7,2024-12-01,Real Madrid,FC Getafe,2,0,2,0
S2425_GD15_G8,2024-12-01,Rayo Vallecano,Athletic Bilbao,1,2,1,0
S2425_GD15_G9,2024-12-01,Real Sociedad San Sebastian,Real Betis Sevilla,2,0,2,0
S2425_GD15_G10,2024-12-02,FC Sevilla,CA Osasuna,1,1,0,0
S2425_GD16_G1,2024-12-06,Celta Vigo,RCD Mallorca,2,0,1,0
S2425_GD16_G2,2024-12-07,UD Las Palmas,Real Valladolid,2,1,1,1
S2425_GD16_G3,2024-12-07,Real Betis Sevilla,FC Barcelona,2,2,0,1
S2425_GD16_G4,2024-12-07,FC Valencia,Rayo Vallecano,0,1,0,1
S2425_GD16_G5,2024-12-07,FC Girona,Real Madrid,0,3,0,1
S2425_GD16_G6,2024-12-08,CD Leganes,Real Sociedad San Sebastian,0,3,0,1
S2425_GD16_G7,2024-12-08,Athletic Bilbao,FC Villarreal,2,0,1,0
S2425_GD16_G8,2024-12-08,CA Osasuna,Deportivo Alaves,2,2,0,1
S2425_GD16_G9,2024-12-08,Atletico Madrid,FC Sevilla,4,3,1,2
S2425_GD16_G10,2024-12-09,FC Getafe,Espanyol Barcelona,1,0,1,0
S2425_GD17_G1,2024-12-13,Real Valladolid,FC Valencia,1,0,1,0
S2425_GD17_G2,2024-12-14,Espanyol Barcelona,CA Osasuna,0,0,0,0
S2425_GD17_G3,2024-12-14,RCD Mallorca,FC Girona,2,1,1,1
S2425_GD17_G4,2024-12-14,FC Sevilla,Celta Vigo,1,0,0,0
S2425_GD17_G5,2024-12-14,Rayo Vallecano,Real Madrid,3,3,2,2
S2425_GD17_G6,2024-12-15,Atletico Madrid,FC Getafe,1,0,0,0
S2425_GD17_G7,2024-12-15,Deportivo Alaves,Athletic Bilbao,1,1,0,1
S2425_GD17_G8,2024-12-15,FC Villarreal,Real Betis Sevilla,1,2,0,1
S2425_GD17_G9,2024-12-15,Real Sociedad San Sebastian,UD Las Palmas,0,0,0,0
S2425_GD17_G10,2024-12-15,FC Barcelona,CD Leganes,0,1,0,1
S2425_GD17_G11,2024-12-18,FC Villarreal,Rayo Vallecano,1,1,1,1
S2425_GD17_G12,2024-12-18,Espanyol Barcelona,FC Valencia,1,1,1,0
S2425_GD18_G1,2024-12-20,FC Girona,Real Valladolid,3,0,2,0
S2425_GD18_G2,2024-12-21,FC Getafe,RCD Mallorca,0,1,0,0
S2425_GD18_G3,2024-12-21,Celta Vigo,Real Sociedad San Sebastian,2,0,2,0
S2425_GD18_G4,2024-12-21,CA Osasuna,Athletic Bilbao,1,2,1,1
S2425_GD18_G5,2024-12-21,FC Barcelona,Atletico Madrid,1,2,1,0
S2425_GD18_G6,2024-12-22,FC Valencia,Deportivo Alaves,2,2,0,1
S2425_GD18_G7,2024-12-22,Real Madrid,FC Sevilla,4,2,3,1
S2425_GD18_G8,2024-12-22,CD Leganes,FC Villarreal,2,5,2,2
S2425_GD18_G9,2024-12-22,UD Las Palmas,Espanyol Barcelona,1,0,0,0
S2425_GD18_G10,2024-12-22,Real Betis Sevilla,Rayo Vallecano,1,1,1,0
S2425_GD18_G11,2025-01-03,FC Valencia,Real Madrid,1,2,1,0
S2425_GD19_G1,2024-12-03,RCD Mallorca,FC Barcelona,1,5,1,1
S2425_GD19_G2,2024-12-04,Athletic Bilbao,Real Madrid,2,1,0,0
S2425_GD19_G3,2025-01-10,Rayo Vallecano,Celta Vigo,2,1,1,1
S2425_GD19_G4,2025-01-11,Deportivo Alaves,FC Girona,0,1,0,0
