match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD28_G1,2025-03-14,UD Las Palmas,Deportivo Alaves,,,,
S2425_GD28_G2,2025-03-15,Real Valladolid,Celta Vigo,,,,
S2425_GD28_G3,2025-03-15,RCD Mallorca,Espanyol Barcelona,,,,
S2425_GD28_G4,2025-03-15,FC Villarreal,Real Madrid,,,,
S2425_GD28_G5,2025-03-15,FC Girona,FC Valencia,,,,
S2425_GD28_G6,2025-03-16,CD Leganes,Real Betis Sevilla,,,,
S2425_GD28_G7,2025-03-16,FC Sevilla,Athletic Bilbao,,,,
S2425_GD28_G8,2025-03-16,Rayo Vallecano,Real Sociedad San Sebastian,,,,
S2425_GD28_G9,2025-03-16,CA Osasuna,FC Getafe,,,,
S2425_GD28_G10,2025-03-16,Atletico Madrid,FC Barcelona,,,,
S2425_GD29_G1,2025-03-28,Athletic Bilbao,CA Osasuna,,,,
S2425_GD29_G2,2025-03-29,Real Sociedad San Sebastian,Real Valladolid,,,,
S2425_GD29_G3,2025-03-29,Espanyol Barcelona,Atletico Madrid,,,,
S2425_GD29_G4,2025-03-29,Deportivo Alaves,Rayo Vallecano,,,,
S2425_GD29_G5,2025-03-29,Real Madrid,CD Leganes,,,,
S2425_GD29_G6,2025-03-30,FC Getafe,FC Villarreal,,,,
S2425_GD29_G7,2025-03-30,FC Barcelona,FC Girona,,,,
S2425_GD29_G8,2025-03-30,FC Valencia,RCD Mallorca,,,,
S2425_GD29_G9,2025-03-30,Real Betis Sevilla,FC Sevilla,,,,
S2425_GD29_G10,2025-03-31,Celta Vigo,UD Las Palmas,,,,
S2425_GD30_G1,2025-04-06,FC Barcelona,Real Betis Sevilla,,,,
S2425_GD30_G2,2025-04-06,Real Madrid,FC Valencia,,,,
S2425_GD30_G3,2025-04-06,UD Las Palmas,Real Sociedad San Sebastian,,,,
S2425_GD30_G4,2025-04-06,CD Leganes,CA Osasuna,,,,
S2425_GD30_G5,2025-04-06,FC Villarreal,Athletic Bilbao,,,,
S2425_GD30_G6,2025-04-06,FC Sevilla,Atletico Madrid,,,,
