season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,alex-padilla,Tor,2003-09-01 00:00:00,0,3,0,Mexiko,,
2024-25,ander-herrera,Mittelfeld,1989-08-14 00:00:00,1,1,0,Spanien,,
2024-25,nabil-aberdin,Abwehr,2002-08-23 00:00:00,0,4,0,Frankreich,,
2024-25,peter,Sturm,2002-07-25 00:00:00,1,0,0,Republik,,
2024-25,rui-silva,Tor,1994-02-07 00:00:00,0,18,0,Portugal,,
2024-25,youssouf-sabaly,Abwehr,1993-03-05 00:00:00,0,0,13,Senegal,,
2024-25,marc-bartra,Abwehr,1991-01-15 00:00:00,0,12,0,Spanien,,
2024-25,william-carvalho,Mittelfeld,1992-04-07 00:00:00,0,4,0,Portugal,,
2024-25,pablo-fornals,Mittelfeld,1996-02-22 00:00:00,2,4,9,Spanien,,
2024-25,nabil-fekir,Mittelfeld,1993-07-18 00:00:00,0,3,0,Frankreich,,
2024-25,aitor-ruibal,Abwehr,1996-03-22 00:00:00,0,4,9,Spanien,,
2024-25,rodri-8,Mittelfeld,2000-05-16 00:00:00,0,0,3,Spanien,,
2024-25,chimy-avila,Sturm,1994-02-06 00:00:00,0,8,5,Argentinien,,
2024-25,oriol-romeu,Mittelfeld,1991-09-24 00:00:00,0,14,0,Spanien,,
2024-25,iker-almena,Sturm,2004-05-04 00:00:00,0,0,0,Spanien,,
2024-25,ivan-villar,Tor,1997-07-09 00:00:00,0,4,0,Spanien,,
2024-25,javi-manquillo,Abwehr,1994-05-05 00:00:00,1,0,6,Spanien,,
2024-25,iago-aspas,Sturm,1987-08-01 00:00:00,0,4,9,Spanien,,
2024-25,jonathan-bamba,Sturm,1996-03-26 00:00:00,5,3,2,Elfenbeinküste,,
2024-25,luka-romero,Sturm,2004-11-18 00:00:00,0,1,1,Argentinien,,
2024-25,stoichkov,Sturm,1993-11-05 00:00:00,0,6,0,Spanien,178.0,"
<"
2024-25,alex-munoz,Abwehr,1994-07-30 00:00:00,10,2,0,Spanien,,
2024-25,aboubacar-bassinga,Mittelfeld,2005-07-13 00:00:00,0,1,0,Elfenbeinküste,,
2024-25,marc-cardona,Sturm,1995-07-08 00:00:00,0,0,0,Spanien,,
2024-25,tanguy-nianzou,Abwehr,2002-06-07 00:00:00,0,6,0,Frankreich,,
2024-25,lucas-ocampos,Sturm,1994-07-11 00:00:00,1,0,1,Argentinien,,
2024-25,jesus-navas,Abwehr,1985-11-21 00:00:00,0,0,3,Spanien,,
2024-25,juan-soriano,Tor,1997-08-23 00:00:00,0,6,0,Spanien,,
2024-25,aritz-arambarri,Abwehr,1998-01-31 00:00:00,0,17,2,Spanien,,
2024-25,javier-hernandez-2,Abwehr,1998-05-02 00:00:00,14,0,0,Spanien,,
2024-25,enric-franquesa,Abwehr,1997-02-26 00:00:00,7,0,0,Spanien,,
2024-25,roberto-lopez,Mittelfeld,2000-04-24 00:00:00,1,2,0,Spanien,,
2024-25,thierry-correia,Abwehr,1999-03-09 00:00:00,2,0,7,Portugal,,
2024-25,rafa-mir,Sturm,1997-06-18 00:00:00,0,1,2,Spanien,,
2024-25,dani-gomez,Sturm,1998-07-30 00:00:00,0,5,0,Spanien,,
2024-25,martin-tejon,Mittelfeld,2004-04-12 00:00:00,0,0,0,Spanien,,
2024-25,david-otorbi,Sturm,2007-10-16 00:00:00,0,0,0,Spanien,,
2024-25,marc-andre-ter-stegen,Tor,1992-04-30 00:00:00,0,9,0,Deutschland,,
2024-25,marc-bernal,Mittelfeld,2007-05-26 00:00:00,0,3,0,Spanien,,
2024-25,andreas-christensen,Abwehr,1996-04-10 00:00:00,0,0,0,Dänemark,,
2024-25,hamari-traore,Abwehr,1992-01-27 00:00:00,0,0,4,Mali,,
2024-25,dani-cardenas,Tor,1997-03-28 00:00:00,0,5,0,Spanien,,
2024-25,pacha-espino,Abwehr,1992-01-05 00:00:00,5,0,0,Uruguay,,
2024-25,gerard-gumbau,Mittelfeld,1994-12-18 00:00:00,0,3,1,Spanien,,
2024-25,manu-morlanes,Mittelfeld,1999-01-12 00:00:00,0,12,0,Spanien,,
2024-25,daniel-carvajal,Abwehr,1992-01-11 00:00:00,0,1,10,Spanien,,
