match_id,name_player,name_team,minute
S2425_GD1_G1,sancet,Athletic Bilbao,27
S2425_GD1_G1,chrisantus-uche,FC Getafe,64
S2425_GD1_G2,marc-bartra,Real Betis Sevilla,6
S2425_GD1_G2,gabriel-osei-misehouy,FC Girona,72
S2425_GD1_G3,williot-swedberg,Celta Vigo,66
S2425_GD1_G3,iago-aspas,Celta Vigo,84
S2425_GD1_G3,kike-garcia,Deportivo Alaves,17
S2425_GD1_G4,tanguy-nianzou,UD Las Palmas,42
S2425_GD1_G4,sandro-4,UD Las Palmas,71
S2425_GD1_G4,alex-suarez,FC Sevilla,25
S2425_GD1_G4,juanlu-2,FC Sevilla,61
S2425_GD1_G5,juan-soriano,CA Osasuna,79
S2425_GD1_G5,juan-cruz-3,CD Leganes,22
S2425_GD1_G6,hugo-duro,FC Valencia,44
S2425_GD1_G6,robert-lewandowski,FC Barcelona,45
S2425_GD1_G6,robert-lewandowski,FC Barcelona,49
S2425_GD1_G7,martin-zubimendi,Real Sociedad San Sebastian,90
S2425_GD1_G7,jorge-de-frutos,Rayo Vallecano,67
S2425_GD1_G7,sergio-camello,Rayo Vallecano,84
S2425_GD1_G8,vedat-muriqi,RCD Mallorca,53
S2425_GD1_G8,rodrygo,Real Madrid,13
S2425_GD1_G9,raul-moro,Real Valladolid,23
S2425_GD1_G10,arnaut-danjuma,FC Villarreal,18
S2425_GD1_G10,koke-2,FC Villarreal,37
S2425_GD1_G10,marcos-llorente,Atletico Madrid,20
S2425_GD1_G10,alexander-soerloth,Atletico Madrid,45
S2425_GD2_G1,oscar-mingueza,Celta Vigo,23
S2425_GD2_G1,iago-aspas,Celta Vigo,28
S2425_GD2_G1,fran-beltran,Celta Vigo,60
S2425_GD2_G1,diego-lopez-noguerol,FC Valencia,14
S2425_GD2_G2,dodi-lukebakio,FC Sevilla,45
S2425_GD2_G2,arnaut-danjuma,FC Villarreal,2
S2425_GD2_G2,ayoze-perez,FC Villarreal,90
S2425_GD2_G3,ruben-garcia-2,CA Osasuna,55
S2425_GD2_G4,lamine-yamal,FC Barcelona,24
S2425_GD2_G4,robert-lewandowski,FC Barcelona,75
S2425_GD2_G4,sancet,Athletic Bilbao,42
S2425_GD2_G6,takefusa-kubo,Real Sociedad San Sebastian,80
S2425_GD2_G7,fede-valverde,Real Madrid,50
S2425_GD2_G7,brahim-diaz,Real Madrid,88
S2425_GD2_G7,endrick,Real Madrid,90
S2425_GD2_G8,juan-cruz-3,CD Leganes,71
S2425_GD2_G8,enric-franquesa,CD Leganes,85
S2425_GD2_G8,sandro-4,UD Las Palmas,90
S2425_GD2_G10,antoine-griezmann,Atletico Madrid,39
S2425_GD2_G10,marcos-llorente,Atletico Madrid,48
S2425_GD2_G10,koke-2,Atletico Madrid,90
S2425_GD3_G1,sergi-cardona,FC Villarreal,26
S2425_GD3_G1,thierno-barry-2,FC Villarreal,60
S2425_GD3_G1,jailson-4,FC Villarreal,64
S2425_GD3_G1,daniel-parejo,FC Villarreal,90
S2425_GD3_G1,borja-iglesias,Celta Vigo,12
S2425_GD3_G1,oscar-mingueza,Celta Vigo,31
S2425_GD3_G1,carl-starfelt,Celta Vigo,80
S2425_GD3_G3,unai-lopez,Rayo Vallecano,9
S2425_GD3_G3,pedri,FC Barcelona,60
S2425_GD3_G3,dani-olmo,FC Barcelona,82
S2425_GD3_G4,be-at-prados,Athletic Bilbao,45
S2425_GD3_G6,brais-mendez,Real Sociedad San Sebastian,33
S2425_GD3_G6,asier-villalibre,Deportivo Alaves,45
S2425_GD3_G6,toni-martinez,Deportivo Alaves,77
S2425_GD3_G8,bryan-3,FC Girona,34
S2425_GD3_G8,viktor-tsygankov,FC Girona,53
S2425_GD3_G8,abel-ruiz,FC Girona,56
S2425_GD3_G8,cristhian-stuani,FC Girona,90
S2425_GD3_G9,alberto-moleiro,UD Las Palmas,5
S2425_GD3_G9,vinicius-junior,Real Madrid,69
S2425_GD4_G1,raphinha,FC Barcelona,20
S2425_GD4_G1,robert-lewandowski,FC Barcelona,24
S2425_GD4_G1,jules-kounde,FC Barcelona,45
S2425_GD4_G1,raphinha,FC Barcelona,64
S2425_GD4_G1,raphinha,FC Barcelona,72
S2425_GD4_G1,dani-olmo,FC Barcelona,82
S2425_GD4_G1,ferran-torres,FC Barcelona,85
S2425_GD4_G2,angel-correa,Atletico Madrid,90
S2425_GD4_G3,carlos-romero-2,Espanyol Barcelona,8
S2425_GD4_G3,alejo-veliz,Espanyol Barcelona,90
S2425_GD4_G3,alvaro-garcia,Rayo Vallecano,4
S2425_GD4_G4,hugo-duro,FC Valencia,24
S2425_GD4_G4,ayoze-perez,FC Villarreal,45
S2425_GD4_G5,dani-rodriguez,RCD Mallorca,43
S2425_GD4_G6,carlos-vicente-robles,Deportivo Alaves,8
S2425_GD4_G6,toni-martinez,Deportivo Alaves,78
S2425_GD4_G7,flavien-enzo-boyomo,CA Osasuna,21
S2425_GD4_G7,carlos-dominguez,CA Osasuna,45
S2425_GD4_G7,abel-bretones-cruz,CA Osasuna,62
S2425_GD4_G7,borja-iglesias,Celta Vigo,29
S2425_GD4_G7,moi-gomez,Celta Vigo,90
S2425_GD4_G8,ivan-martin,FC Girona,41
S2425_GD4_G8,abel-ruiz,FC Girona,73
S2425_GD4_G10,kylian-mbappe,Real Madrid,67
S2425_GD4_G10,kylian-mbappe,Real Madrid,75
S2425_GD5_G1,abdessamad-ezzalzouli,Real Betis Sevilla,74
S2425_GD5_G1,vitor-roque,Real Betis Sevilla,86
S2425_GD5_G2,raul-albiol,RCD Mallorca,57
S2425_GD5_G2,logan-costa,FC Villarreal,27
S2425_GD5_G2,ayoze-perez,FC Villarreal,90
S2425_GD5_G3,javi-puado,Espanyol Barcelona,22
S2425_GD5_G3,javi-puado,Espanyol Barcelona,56
S2425_GD5_G3,javi-puado,Espanyol Barcelona,63
S2425_GD5_G3,tomas-conechny,Deportivo Alaves,35
S2425_GD5_G3,nahuel-tenaglia,Deportivo Alaves,68
S2425_GD5_G4,jesus-navas,FC Sevilla,23
S2425_GD5_G5,vinicius-junior,Real Madrid,58
S2425_GD5_G5,kylian-mbappe,Real Madrid,75
S2425_GD5_G6,hugo-alvarez,Celta Vigo,22
S2425_GD5_G6,borja-iglesias,Celta Vigo,35
S2425_GD5_G6,tassos-douvikas,Celta Vigo,90
S2425_GD5_G6,raul-moro,Real Valladolid,50
S2425_GD5_G7,cristhian-stuani,FC Girona,80
S2425_GD5_G7,lamine-yamal,FC Barcelona,30
S2425_GD5_G7,lamine-yamal,FC Barcelona,37
S2425_GD5_G7,dani-olmo,FC Barcelona,47
S2425_GD5_G7,pedri,FC Barcelona,64
S2425_GD5_G8,sandro-4,UD Las Palmas,58
S2425_GD5_G8,alex-munoz,UD Las Palmas,83
S2425_GD5_G8,sancet,Athletic Bilbao,7
S2425_GD5_G8,nico-williams,Athletic Bilbao,30
S2425_GD5_G8,aitor-paredes,Athletic Bilbao,76
S2425_GD5_G9,conor-gallagher,Atletico Madrid,39
S2425_GD5_G9,antoine-griezmann,Atletico Madrid,54
S2425_GD5_G9,julian-alvarez,Atletico Madrid,90
S2425_GD5_G10,abdul-mumin,Rayo Vallecano,50
S2425_GD5_G10,andrei-ratiu,Rayo Vallecano,66
S2425_GD5_G10,unai-lopez,Rayo Vallecano,90
