season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,andre-onana,Tor,1996-04-02 00:00:00,0,26,0,Kamerun,,
2024-25,noussair-mazraoui,Abwehr,1997-11-14 00:00:00,4,1,19,Marokko,,
2024-25,harry-maguire,Abwehr,1993-03-05 00:00:00,0,11,0,England,,
2024-25,lisandro-martinez,Abwehr,1998-01-18 00:00:00,11,11,0,Argentinien,,
2024-25,diogo-dalot,Abwehr,1999-03-18 00:00:00,17,0,11,Portugal,,
2024-25,casemiro,Mittelfeld,1992-02-23 00:00:00,0,13,0,Brasilien,,
2024-25,kobbie-mainoo,Mittelfeld,2005-04-19 00:00:00,0,13,0,England,,
2024-25,amad-traore,Sturm,2002-07-11 00:00:00,0,3,14,Elfenbeinküste,,
2024-25,mason-mount,Mittelfeld,1999-01-10 00:00:00,1,3,1,England,,
2024-25,marcus-rashford,Sturm,1997-10-31 00:00:00,11,2,3,England,,
2024-25,bruno-fernandes-2,Mittelfeld,1994-09-08 00:00:00,3,25,1,Portugal,,
2024-25,alejandro-garnacho,Sturm,2004-07-01 00:00:00,7,2,4,Argentinien,,
2024-25,joshua-zirkzee,Sturm,2001-05-22 00:00:00,0,13,0,Niederlande,,
2024-25,matthijs-de-ligt,Abwehr,1999-08-12 00:00:00,0,18,4,Niederlande,,
2024-25,jonathan-evans,Abwehr,1988-01-03 00:00:00,1,3,0,Nordirland,,
2024-25,scott-mctominay,Mittelfeld,1996-12-08 00:00:00,13,8,0,Schottland,,
2024-25,bernd-leno,Tor,1992-03-04 00:00:00,0,20,0,Deutschland,,
2024-25,kenny-tete,Abwehr,1995-10-09 00:00:00,0,0,15,Niederlande,,
2024-25,issa-diop,Abwehr,1997-07-09 00:00:00,0,11,1,Frankreich,,
2024-25,calvin-bassey,Abwehr,1999-12-31 00:00:00,4,15,0,Nigeria,,
2024-25,antonee-robinson,Abwehr,1997-08-08 00:00:00,20,0,0,USA,,
2024-25,andreas-pereira,Mittelfeld,1996-01-01 00:00:00,0,11,4,Brasilien,,
2024-25,sasa-lukic,Mittelfeld,1996-08-13 00:00:00,1,16,0,Serbien,,
2024-25,adama-traore-2,Sturm,1996-01-25 00:00:00,2,0,9,Spanien,,
2024-25,emile-smith-rowe,Mittelfeld,2000-07-28 00:00:00,1,13,0,England,,
2024-25,alex-iwobi,Sturm,1996-05-03 00:00:00,12,1,7,Nigeria,,
2024-25,rodrigo-muniz,Sturm,2001-05-04 00:00:00,0,5,0,Brasilien,,
2024-25,tom-cairney,Mittelfeld,1991-01-20 00:00:00,0,2,0,Schottland,,
2024-25,harry-wilson,Sturm,1997-03-22 00:00:00,1,5,5,Wales,,
2024-25,raul-jimenez,Sturm,1991-05-05 00:00:00,0,15,0,Mexiko,,
2024-25,harrison-reed,Mittelfeld,1995-01-27 00:00:00,0,0,0,England,,
2024-25,jay-stansfield,Sturm,2002-11-24 00:00:00,0,0,0,England,,
2024-25,christian-walton,Tor,1995-11-09 00:00:00,0,3,0,England,,
2024-25,axel-tuanzebe,Abwehr,1997-11-14 00:00:00,0,0,9,Kongo,,
2024-25,luke-woolfenden,Abwehr,1998-10-21 00:00:00,0,7,0,England,,
2024-25,jacob-greaves,Abwehr,2000-09-12 00:00:00,4,7,0,England,,
2024-25,leif-davis,Abwehr,2000-01-12 00:00:00,20,0,0,England,,
2024-25,sam-morsy,Mittelfeld,1991-09-10 00:00:00,0,18,0,Ägypten,,
2024-25,massimo-luongo,Mittelfeld,1992-09-25 00:00:00,0,2,0,Australien,,
2024-25,wes-burns,Mittelfeld,1994-11-23 00:00:00,1,0,10,Wales,173.0,"
<"
2024-25,conor-chaplin,Sturm,1997-02-16 00:00:00,0,7,0,England,168.0,"
<"
2024-25,omari-hutchinson,Sturm,2003-10-30 00:00:00,2,11,5,England,,
2024-25,liam-delap,Sturm,2003-02-08 00:00:00,0,18,0,England,,
2024-25,ben-johnson,Abwehr,2000-01-24 00:00:00,0,0,7,England,,
2024-25,jack-taylor,Mittelfeld,1998-06-23 00:00:00,0,1,0,Irland,,
2024-25,marcus-harness,Mittelfeld,1996-02-24 00:00:00,0,0,0,Irland,,
2024-25,sammie-szmodics,Sturm,1995-09-24 00:00:00,14,4,1,Irland,,
2024-25,ali-al-hamadi,Sturm,2002-03-01 00:00:00,0,0,0,Irak,,
2024-25,alisson,Tor,1992-10-02 00:00:00,0,14,0,Brasilien,,
2024-25,trent-alexander-arnold,Abwehr,1998-10-07 00:00:00,1,0,25,England,,
2024-25,jarell-quansah,Abwehr,2003-01-29 00:00:00,0,1,1,England,,
2024-25,virgil-van-dijk,Abwehr,1991-07-08 00:00:00,0,29,0,Niederlande,,
2024-25,andrew-robertson,Abwehr,1994-03-11 00:00:00,26,0,0,Schottland,,
2024-25,ryan-gravenberch,Mittelfeld,2002-05-16 00:00:00,1,27,2,Niederlande,,
2024-25,alexis-mac-allister,Mittelfeld,1998-12-24 00:00:00,3,18,0,Argentinien,,
2024-25,mohamed-salah,Sturm,1992-06-15 00:00:00,0,0,25,Ägypten,,
2024-25,dominik-szoboszlai,Mittelfeld,2000-10-25 00:00:00,4,15,3,Ungarn,,
2024-25,luis-diaz-3,Sturm,1997-01-13 00:00:00,11,6,0,Kolumbien,,
2024-25,diogo-jota,Sturm,1996-12-04 00:00:00,1,9,0,Portugal,,
2024-25,ibrahima-konate,Abwehr,1999-05-25 00:00:00,0,22,0,Frankreich,,
2024-25,conor-bradley-2,Abwehr,2003-07-09 00:00:00,0,0,8,Nordirland,,
2024-25,kostas-tsimikas,Abwehr,1996-05-12 00:00:00,9,0,0,Griechenland,,
2024-25,cody-gakpo,Sturm,1999-05-07 00:00:00,19,0,0,Niederlande,,
2024-25,david-raya,Tor,1995-09-15 00:00:00,0,31,0,Spanien,,
2024-25,ben-white,Abwehr,1997-10-08 00:00:00,0,1,9,England,,
2024-25,william-saliba-2,Abwehr,2001-03-24 00:00:00,0,30,0,Frankreich,,
2024-25,gabriel-6,Abwehr,1997-12-19 00:00:00,0,23,0,Brasilien,,
2024-25,oleksandr-zinchenko,Abwehr,1996-12-15 00:00:00,2,2,0,Ukraine,,
2024-25,martin-oedegaard,Mittelfeld,1998-12-17 00:00:00,0,0,16,Norwegen,,
2024-25,thomas,Mittelfeld,1993-06-13 00:00:00,0,15,7,Ghana,,
2024-25,declan-rice-2,Mittelfeld,1999-01-14 00:00:00,8,16,1,England,,
2024-25,bukayo-saka,Sturm,2001-09-05 00:00:00,0,0,24,England,,
2024-25,kai-havertz,Mittelfeld,1999-06-11 00:00:00,2,23,0,Deutschland,,
2024-25,gabriel-martinelli,Sturm,2001-06-18 00:00:00,18,0,1,Brasilien,,
2024-25,jurrien-timber,Abwehr,2001-06-17 00:00:00,10,0,11,Niederlande,,
2024-25,leandro-trossard,Sturm,1994-12-04 00:00:00,12,7,0,Belgien,,
2024-25,gabriel-jesus,Sturm,1997-04-03 00:00:00,0,8,1,Brasilien,,
2024-25,jose-sa,Tor,1993-01-17 00:00:00,0,14,0,Portugal,,
2024-25,matt-doherty,Abwehr,1992-01-16 00:00:00,0,0,11,Irland,,
2024-25,yerson-mosquera,Abwehr,2001-05-02 00:00:00,0,5,0,Kolumbien,,
2024-25,toti-2,Abwehr,1999-01-16 00:00:00,9,6,0,Portugal,,
2024-25,rayan-ait-nouri,Abwehr,2001-06-06 00:00:00,19,0,0,Algerien,,
2024-25,joao-victor-5,Mittelfeld,2001-02-12 00:00:00,0,18,1,Brasilien,176.0,"
<"
2024-25,mario-lemina,Mittelfeld,1993-09-01 00:00:00,1,11,3,Gabun,,
2024-25,hee-chan-hwang,Sturm,1996-01-26 00:00:00,0,2,2,Südkorea,,
