match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD1_G1,2024-08-17,CFC Genua 1893,Inter Mailand,2,2,1.0,1.0
S2425_GD1_G2,2024-08-17,Parma Calcio,AC Florenz,1,1,1.0,0.0
S2425_GD1_G3,2024-08-17,FC Empoli,AC Monza,0,0,0.0,0.0
S2425_GD1_G4,2024-08-17,AC Mailand,FC Turin,2,2,0.0,1.0
S2425_GD1_G5,2024-08-18,FC Bologna,Udinese Calcio,1,1,0.0,0.0
S2425_GD1_G6,2024-08-18,Hellas Verona,SSC Neapel,3,0,0.0,0.0
S2425_GD1_G7,2024-08-18,Cagliari Calcio,AS Rom,0,0,0.0,0.0
S2425_GD1_G8,2024-08-18,Lazio Rom,FC Venedig,3,1,2.0,1.0
S2425_GD1_G9,2024-08-19,US Lecce,Atalanta Bergamo,0,4,0.0,2.0
S2425_GD1_G10,2024-08-19,Juventus Turin,Como 1907,3,0,2.0,0.0
S2425_GD2_G1,2024-08-24,Parma Calcio,AC Mailand,2,1,1.0,0.0
S2425_GD2_G2,2024-08-24,Udinese Calcio,Lazio Rom,2,1,1.0,0.0
S2425_GD2_G3,2024-08-24,Inter Mailand,US Lecce,2,0,1.0,0.0
S2425_GD2_G4,2024-08-24,AC Monza,CFC Genua 1893,0,1,0.0,1.0
S2425_GD2_G5,2024-08-25,AC Florenz,FC Venedig,0,0,0.0,0.0
S2425_GD2_G6,2024-08-25,FC Turin,Atalanta Bergamo,2,1,1.0,1.0
S2425_GD2_G7,2024-08-25,SSC Neapel,FC Bologna,3,0,1.0,0.0
S2425_GD2_G8,2024-08-25,AS Rom,FC Empoli,1,2,0.0,1.0
S2425_GD2_G9,2024-08-26,Cagliari Calcio,Como 1907,1,1,1.0,0.0
S2425_GD2_G10,2024-08-26,Hellas Verona,Juventus Turin,0,3,0.0,2.0
S2425_GD3_G1,2024-08-30,FC Venedig,FC Turin,0,1,0.0,0.0
S2425_GD3_G2,2024-08-30,Inter Mailand,Atalanta Bergamo,4,0,2.0,0.0
S2425_GD3_G3,2024-08-31,FC Bologna,FC Empoli,1,1,1.0,1.0
S2425_GD3_G4,2024-08-31,US Lecce,Cagliari Calcio,1,0,1.0,0.0
S2425_GD3_G5,2024-08-31,Lazio Rom,AC Mailand,2,2,0.0,1.0
S2425_GD3_G6,2024-08-31,SSC Neapel,Parma Calcio,2,1,0.0,1.0
S2425_GD3_G7,2024-09-01,AC Florenz,AC Monza,2,2,1.0,2.0
S2425_GD3_G8,2024-09-01,CFC Genua 1893,Hellas Verona,0,2,0.0,0.0
S2425_GD3_G9,2024-09-01,Juventus Turin,AS Rom,0,0,0.0,0.0
S2425_GD3_G10,2024-09-01,Udinese Calcio,Como 1907,1,0,1.0,0.0
S2425_GD4_G1,2024-09-14,Como 1907,FC Bologna,2,2,1.0,0.0
S2425_GD4_G2,2024-09-14,FC Empoli,Juventus Turin,0,0,0.0,0.0
S2425_GD4_G3,2024-09-14,AC Mailand,FC Venedig,4,0,4.0,0.0
S2425_GD4_G4,2024-09-15,CFC Genua 1893,AS Rom,1,1,0.0,1.0
S2425_GD4_G5,2024-09-15,FC Turin,US Lecce,0,0,0.0,0.0
S2425_GD4_G6,2024-09-15,Atalanta Bergamo,AC Florenz,3,2,3.0,2.0
S2425_GD4_G7,2024-09-15,Cagliari Calcio,SSC Neapel,0,4,0.0,1.0
S2425_GD4_G8,2024-09-15,AC Monza,Inter Mailand,1,1,0.0,0.0
S2425_GD4_G9,2024-09-16,Parma Calcio,Udinese Calcio,2,3,2.0,0.0
S2425_GD4_G10,2024-09-16,Lazio Rom,Hellas Verona,2,1,2.0,1.0
S2425_GD5_G1,2024-09-20,Cagliari Calcio,FC Empoli,0,2,0.0,1.0
S2425_GD5_G2,2024-09-20,Hellas Verona,FC Turin,2,3,1.0,2.0
S2425_GD5_G3,2024-09-21,FC Venedig,CFC Genua 1893,2,0,0.0,0.0
S2425_GD5_G4,2024-09-21,Juventus Turin,SSC Neapel,0,0,0.0,0.0
S2425_GD5_G5,2024-09-21,US Lecce,Parma Calcio,2,2,1.0,0.0
S2425_GD5_G6,2024-09-22,AC Florenz,Lazio Rom,2,1,0.0,1.0
S2425_GD5_G7,2024-09-22,AC Monza,FC Bologna,1,2,1.0,1.0
S2425_GD5_G8,2024-09-22,AS Rom,Udinese Calcio,3,0,1.0,0.0
S2425_GD5_G9,2024-09-22,Inter Mailand,AC Mailand,1,2,1.0,1.0
