match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD25_G1,2025-02-14,FC Bologna,FC Turin,,,,
S2425_GD25_G2,2025-02-15,Atalanta Bergamo,Cagliari Calcio,,,,
S2425_GD25_G3,2025-02-15,Lazio Rom,SSC Neapel,,,,
S2425_GD25_G4,2025-02-15,AC Mailand,Hellas Verona,,,,
S2425_GD25_G5,2025-02-16,AC Florenz,Como 1907,,,,
S2425_GD25_G6,2025-02-16,AC Monza,US Lecce,,,,
S2425_GD25_G7,2025-02-16,Udinese Calcio,FC Empoli,,,,
S2425_GD25_G8,2025-02-16,Parma Calcio,AS Rom,,,,
S2425_GD25_G9,2025-02-16,Juventus Turin,Inter Mailand,,,,
S2425_GD25_G10,2025-02-17,CFC Genua 1893,FC Venedig,,,,
S2425_GD26_G1,2025-02-21,US Lecce,Udinese Calcio,,,,
S2425_GD26_G2,2025-02-22,Parma Calcio,FC Bologna,,,,
S2425_GD26_G3,2025-02-22,FC Venedig,Lazio Rom,,,,
S2425_GD26_G4,2025-02-22,FC Turin,AC Mailand,,,,
S2425_GD26_G5,2025-02-22,Inter Mailand,CFC Genua 1893,,,,
S2425_GD26_G6,2025-02-23,Como 1907,SSC Neapel,,,,
S2425_GD26_G7,2025-02-23,Hellas Verona,AC Florenz,,,,
S2425_GD26_G8,2025-02-23,FC Empoli,Atalanta Bergamo,,,,
S2425_GD26_G9,2025-02-23,Cagliari Calcio,Juventus Turin,,,,
S2425_GD26_G10,2025-02-24,AS Rom,AC Monza,,,,
S2425_GD26_G11,2025-02-26,FC Bologna,AC Mailand,,,,
S2425_GD27_G1,2025-03-02,Atalanta Bergamo,FC Venedig,,,,
S2425_GD27_G2,2025-03-02,FC Bologna,Cagliari Calcio,,,,
S2425_GD27_G3,2025-03-02,AC Florenz,US Lecce,,,,
S2425_GD27_G4,2025-03-02,CFC Genua 1893,FC Empoli,,,,
S2425_GD27_G5,2025-03-02,Juventus Turin,Hellas Verona,,,,
S2425_GD27_G6,2025-03-02,AC Mailand,Lazio Rom,,,,
S2425_GD27_G7,2025-03-02,AC Monza,FC Turin,,,,
S2425_GD27_G8,2025-03-02,SSC Neapel,Inter Mailand,,,,
S2425_GD27_G9,2025-03-02,AS Rom,Como 1907,,,,
S2425_GD27_G10,2025-03-02,Udinese Calcio,Parma Calcio,,,,
S2425_GD28_G1,2025-03-09,Cagliari Calcio,CFC Genua 1893,,,,
S2425_GD28_G2,2025-03-09,Como 1907,FC Venedig,,,,
S2425_GD28_G3,2025-03-09,FC Empoli,AS Rom,,,,
S2425_GD28_G4,2025-03-09,Hellas Verona,FC Bologna,,,,
S2425_GD28_G5,2025-03-09,Inter Mailand,AC Monza,,,,
S2425_GD28_G6,2025-03-09,Juventus Turin,Atalanta Bergamo,,,,
S2425_GD28_G7,2025-03-09,Lazio Rom,Udinese Calcio,,,,
S2425_GD28_G8,2025-03-09,US Lecce,AC Mailand,,,,
S2425_GD28_G9,2025-03-09,SSC Neapel,AC Florenz,,,,
S2425_GD28_G10,2025-03-09,Parma Calcio,FC Turin,,,,
S2425_GD29_G1,2025-03-16,Atalanta Bergamo,Inter Mailand,,,,
S2425_GD29_G2,2025-03-16,FC Bologna,Lazio Rom,,,,
