season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,pierluigi-gollini,Tor,1995-03-18 00:00:00,0,7,0,Italien,,
2024-25,alessandro-vogliacco,Abwehr,1998-09-14 00:00:00,0,1,7,Italien,,
2024-25,mattia-bani,Abwehr,1993-12-10 00:00:00,0,12,0,Italien,,
2024-25,koni-de-winter,Abwehr,2002-06-12 00:00:00,1,2,5,Belgien,191.0,"
<"
2024-25,alessandro-zanoli,Abwehr,2000-10-03 00:00:00,0,0,11,Italien,,
2024-25,ruslan-malinovskyi,Mittelfeld,1993-05-04 00:00:00,0,0,2,Ukraine,,
2024-25,milan-badelj,Mittelfeld,1989-02-25 00:00:00,0,16,0,Kroatien,,
2024-25,morten-frendrup,Mittelfeld,2001-04-07 00:00:00,9,8,1,Dänemark,178.0,"
<"
2024-25,aaron-2,Abwehr,1997-04-22 00:00:00,18,0,0,Spanien,,
2024-25,junior-messias,Sturm,1991-05-13 00:00:00,0,1,2,Brasilien,,
2024-25,vitor-oliveira,Sturm,2000-03-15 00:00:00,2,6,1,Portugal,,
2024-25,johan-vasquez,Abwehr,1998-10-22 00:00:00,6,10,0,Mexiko,,
2024-25,stefano-sabelli,Abwehr,1993-01-13 00:00:00,0,0,12,Italien,,
2024-25,morten-thorsby,Mittelfeld,1996-05-05 00:00:00,0,10,6,Norwegen,,
2024-25,jeff-ekhator,Sturm,2006-11-11 00:00:00,0,3,0,Italien,,
2024-25,yann-sommer,Tor,1988-12-17 00:00:00,0,24,0,Schweiz,,
2024-25,yann-aurel-bisseck,Abwehr,2000-11-29 00:00:00,2,0,12,Deutschland,,
2024-25,francesco-acerbi,Abwehr,1988-02-10 00:00:00,0,10,0,Italien,,
2024-25,alessandro-bastoni,Abwehr,1999-04-13 00:00:00,23,4,0,Italien,,
2024-25,matteo-darmian,Abwehr,1989-12-02 00:00:00,1,0,11,Italien,,
2024-25,nicolo-barella,Mittelfeld,1997-02-07 00:00:00,1,7,12,Italien,,
2024-25,hakan-calhanoglu,Mittelfeld,1994-02-08 00:00:00,0,22,0,Türkei,,
2024-25,henrikh-mkhitaryan,Mittelfeld,1989-01-21 00:00:00,17,3,0,Armenien,,
2024-25,federico-dimarco,Abwehr,1997-11-10 00:00:00,24,0,0,Italien,,
2024-25,lautaro-martinez,Sturm,1997-08-22 00:00:00,0,18,0,Argentinien,,
2024-25,marcus-thuram,Sturm,1997-08-06 00:00:00,1,21,0,Frankreich,,
2024-25,denzel-dumfries,Mittelfeld,1996-04-18 00:00:00,0,0,18,Niederlande,,
