match_id,name_player,name_team,minute
S2425_GD1_G1,alessandro-vogliacco,CFC Genua 1893,20
S2425_GD1_G1,junior-messias,CFC Genua 1893,90
S2425_GD1_G1,marcus-thuram,Inter Mailand,30
S2425_GD1_G1,marcus-thuram,Inter Mailand,82
S2425_GD1_G2,dennis-man,Parma Calcio,22
S2425_GD1_G2,cristiano-biraghi,AC Florenz,75
S2425_GD1_G4,alvaro-morata,AC Mailand,89
S2425_GD1_G4,noah-okafor,AC Mailand,90
S2425_GD1_G4,malick-thiaw,FC Turin,30
S2425_GD1_G4,duvan-zapata,FC Turin,68
S2425_GD1_G5,riccardo-orsolini,FC Bologna,57
S2425_GD1_G5,lautaro-daniel-gianetti,Udinese Calcio,68
S2425_GD1_G6,dailon-rocha,Hellas Verona,50
S2425_GD1_G6,daniel-mosquera,Hellas Verona,75
S2425_GD1_G6,daniel-mosquera,Hellas Verona,90
S2425_GD1_G8,valentin-castellanos,Lazio Rom,11
S2425_GD1_G8,mattia-zaccagni,Lazio Rom,44
S2425_GD1_G8,giorgio-altare,Lazio Rom,81
S2425_GD1_G8,magnus-kofoed-andersen,FC Venedig,3
S2425_GD1_G9,marco-brescianini,Atalanta Bergamo,35
S2425_GD1_G9,mateo-retegui,Atalanta Bergamo,45
S2425_GD1_G9,mateo-retegui,Atalanta Bergamo,57
S2425_GD1_G9,marco-brescianini,Atalanta Bergamo,66
S2425_GD1_G10,samuel-mbangula-tshifunda,Juventus Turin,23
S2425_GD1_G10,timothy-weah,Juventus Turin,45
S2425_GD1_G10,andrea-cambiaso,Juventus Turin,90
S2425_GD2_G1,dennis-man,Parma Calcio,2
S2425_GD2_G1,matteo-cancellieri,Parma Calcio,77
S2425_GD2_G1,christian-pulisic,AC Mailand,66
S2425_GD2_G2,lorenzo-lucca,Udinese Calcio,5
S2425_GD2_G2,florian-thauvin,Udinese Calcio,49
S2425_GD2_G2,gustav-tang-isaksen,Lazio Rom,90
S2425_GD2_G3,matteo-darmian,Inter Mailand,5
S2425_GD2_G3,hakan-calhanoglu,Inter Mailand,69
S2425_GD2_G4,andrea-pinamonti,CFC Genua 1893,45
S2425_GD2_G6,ivan-ilic,FC Turin,31
S2425_GD2_G6,che-adams,FC Turin,49
S2425_GD2_G6,mateo-retegui,Atalanta Bergamo,26
S2425_GD2_G7,giovanni-di-lorenzo,SSC Neapel,45
S2425_GD2_G7,khvicha-kvaratskhelia,SSC Neapel,75
S2425_GD2_G7,giovanni-simeone,SSC Neapel,90
S2425_GD2_G8,eldor-shomurodov,AS Rom,80
S2425_GD2_G8,emmanuel-gyasi-2,FC Empoli,45
S2425_GD2_G8,lorenzo-colombo,FC Empoli,61
S2425_GD2_G9,roberto-piccoli,Cagliari Calcio,44
S2425_GD2_G9,patrick-cutrone,Como 1907,53
S2425_GD2_G10,dusan-vlahovic,Juventus Turin,28
S2425_GD2_G10,nicolo-savona,Juventus Turin,39
S2425_GD2_G10,dusan-vlahovic,Juventus Turin,53
S2425_GD3_G1,saul-coco,FC Turin,86
S2425_GD3_G2,berat-djimsiti,Inter Mailand,3
S2425_GD3_G2,nicolo-barella,Inter Mailand,10
S2425_GD3_G2,marcus-thuram,Inter Mailand,47
S2425_GD3_G2,marcus-thuram,Inter Mailand,56
S2425_GD3_G3,giovanni-fabbian,FC Bologna,2
S2425_GD3_G3,emmanuel-gyasi-2,FC Empoli,3
S2425_GD3_G4,nikola-krstovic,US Lecce,26
S2425_GD3_G5,valentin-castellanos,Lazio Rom,62
S2425_GD3_G5,boulaye-dia,Lazio Rom,66
S2425_GD3_G5,strahinja-pavlovic,AC Mailand,8
S2425_GD3_G5,rafael-leao,AC Mailand,72
S2425_GD3_G6,romelu-lukaku,SSC Neapel,90
S2425_GD3_G6,andre-frank-zambo-anguissa,SSC Neapel,90
S2425_GD3_G6,ange-yohan-bonny,Parma Calcio,19
S2425_GD3_G7,moise-kean,AC Florenz,45
